index,prediction,confidence,breed
0,Welsh_Springer_Spaniel,0.465074,True
0,Collie,0.156665,True
0,Shetland_Sheepdog,0.0614285,True
1,Redbone,0.506826,True
1,Miniature_Pinscher,0.07419169999999999,True
1,Rhodesian_Ridgeback,0.07201,True
2,German_Shepherd,0.596461,True
2,Malinois,0.13858399999999998,True
2,Bloodhound,0.116197,True
3,Rhodesian_Ridgeback,0.408143,True
3,Redbone,0.360687,True
3,Miniature_Pinscher,0.222752,True
4,Miniature_Pinscher,0.560311,True
4,Rottweiler,0.243682,True
4,Doberman,0.154629,True
5,Bernese_Mountain_Dog,0.651137,True
5,English_Springer,0.263788,True
5,Greater_Swiss_Mountain_Dog,0.0161992,True
6,Box_Turtle,0.933012,False
6,Mud_Turtle,0.045885400000000014,False
6,Terrapin,0.017885299999999996,False
7,Chow,0.692517,True
7,Tibetan_Mastiff,0.0582794,True
7,Fur_Coat,0.0544486,False
8,Shopping_Cart,0.962465,False
8,Shopping_Basket,0.0145938,False
8,Golden_Retriever,0.00795896,True
9,Miniature_Poodle,0.201493,True
9,Komondor,0.192305,True
9,Soft-Coated_Wheaten_Terrier,0.08208610000000001,True
10,Golden_Retriever,0.77593,True
10,Tibetan_Mastiff,0.0937178,True
10,Labrador_Retriever,0.07242660000000001,True
11,Gordon_Setter,0.503672,True
11,Yorkshire_Terrier,0.174201,True
11,Pekinese,0.109454,True
12,Walker_Hound,0.260857,True
12,English_Foxhound,0.17538199999999998,True
12,Ibizan_Hound,0.0974705,True
13,Pug,0.489814,True
13,Bull_Mastiff,0.404722,True
13,French_Bulldog,0.0489595,True
14,Bloodhound,0.195217,True
14,German_Shepherd,0.0782598,True
14,Malinois,0.07562780000000001,True
15,Lhasa,0.58233,True
15,Shih-Tzu,0.166192,True
15,Dandie_Dinmont,0.0896883,True
16,English_Setter,0.298617,True
16,Newfoundland,0.149842,True
16,Borzoi,0.133649,True
17,Hen,0.965932,False
17,Cock,0.0339194,False
17,Partridge,5.20658e-05,False
18,Desktop_Computer,0.086502,False
18,Desk,0.0855474,False
18,Bookcase,0.0794797,False
19,Italian_Greyhound,0.176053,True
19,Toy_Terrier,0.111884,True
19,Basenji,0.111152,True
20,Maltese_Dog,0.8575309999999999,True
20,Toy_Poodle,0.0630638,True
20,Miniature_Poodle,0.0255806,True
21,Three-Toed_Sloth,0.914671,False
21,Otter,0.01525,False
21,Great_Grey_Owl,0.0132072,False
22,Ox,0.416669,False
22,Newfoundland,0.278407,True
22,Groenendael,0.102643,True
23,Golden_Retriever,0.8587440000000001,True
23,Chesapeake_Bay_Retriever,0.0547868,True
23,Labrador_Retriever,0.0142409,True
24,Malamute,0.33687399999999995,True
24,Siberian_Husky,0.147655,True
24,Eskimo_Dog,0.0934124,True
25,Guinea_Pig,0.996496,False
25,Skunk,0.00240245,False
25,Hamster,0.0004608630000000001,False
26,Soft-Coated_Wheaten_Terrier,0.326467,True
26,Afghan_Hound,0.25955100000000003,True
26,Briard,0.206803,True
27,Chihuahua,0.978108,True
27,Toy_Terrier,0.00939697,True
27,Papillon,0.00457681,True
28,Black-And-Tan_Coonhound,0.529139,True
28,Bloodhound,0.24422,True
28,Flat-Coated_Retriever,0.17381,True
29,Coho,0.40464,False
29,Barracouta,0.271485,False
29,Gar,0.189945,False
30,Toy_Terrier,0.14968,True
30,Papillon,0.148258,True
30,Chihuahua,0.14286,True
31,Blenheim_Spaniel,0.906777,True
31,Cocker_Spaniel,0.0903464,True
31,Shih-Tzu,0.00111687,True
32,Pembroke,0.371361,True
32,Chow,0.249394,True
32,Pomeranian,0.241878,True
33,Llama,0.505184,False
33,Irish_Terrier,0.104109,True
33,Dingo,0.0620712,False
34,Chesapeake_Bay_Retriever,0.18413,True
34,Chain_Saw,0.056775300000000015,False
34,Power_Drill,0.0367634,False
35,Chihuahua,0.6718529999999999,True
35,Beagle,0.12468,True
35,Saluki,0.044094199999999986,True
36,Curly-Coated_Retriever,0.32208400000000004,True
36,Giant_Schnauzer,0.287955,True
36,Labrador_Retriever,0.166331,True
37,Dalmatian,0.278954,True
37,Labrador_Retriever,0.237612,True
37,Great_Pyrenees,0.171106,True
38,Ibizan_Hound,0.0443334,True
38,Pembroke,0.0432093,True
38,West_Highland_White_Terrier,0.0389056,True
39,Border_Collie,0.447803,True
39,English_Springer,0.170497,True
39,Collie,0.139206,True
40,German_Shepherd,0.975401,True
40,Beagle,0.00868727,True
40,Bloodhound,0.00539404,True
41,Labrador_Retriever,0.887707,True
41,Chihuahua,0.029307,True
41,French_Bulldog,0.0207563,True
42,Miniature_Poodle,0.546933,True
42,Cocker_Spaniel,0.165255,True
42,Toy_Poodle,0.0959589,True
43,Seat_Belt,0.375057,False
43,Miniature_Pinscher,0.167175,True
43,Chihuahua,0.0869506,True
44,Italian_Greyhound,0.618316,True
44,Weimaraner,0.151363,True
44,Vizsla,0.08598910000000001,True
45,Snail,0.999888,False
45,Slug,5.51417e-05,False
45,Acorn,2.6258e-05,False
46,English_Setter,0.32879200000000003,True
46,Brittany_Spaniel,0.283545,True
46,Ibizan_Hound,0.0574615,True
47,Miniature_Schnauzer,0.496953,True
47,Standard_Schnauzer,0.28527600000000003,True
47,Giant_Schnauzer,0.07376369999999999,True
48,Maltese_Dog,0.359383,True
48,Teddy,0.148759,False
48,West_Highland_White_Terrier,0.106007,True
49,Airedale,0.448459,True
49,Toy_Poodle,0.12403,True
49,Teddy,0.110183,False
50,Triceratops,0.442113,False
50,Armadillo,0.114071,False
50,Common_Iguana,0.0432553,False
51,Swab,0.589446,False
51,Chain_Saw,0.190142,False
51,Wig,0.0345097,False
52,Hay,0.507637,False
52,Rottweiler,0.0624899,True
52,Water_Buffalo,0.0484247,False
53,Hyena,0.98723,False
53,African_Hunting_Dog,0.0126008,False
53,Coyote,5.735010000000001e-05,False
54,Golden_Retriever,0.765266,True
54,Labrador_Retriever,0.206694,True
54,Seat_Belt,0.0106669,False
55,Chesapeake_Bay_Retriever,0.825678,True
55,Vizsla,0.090998,True
55,Kelpie,0.0229562,True
56,Jigsaw_Puzzle,0.560001,False
56,Doormat,0.103259,False
56,Space_Heater,0.042568,False
57,Chihuahua,0.483682,True
57,Pug,0.0924939,True
57,Brabancon_Griffon,0.057495400000000016,True
58,Chihuahua,0.959514,True
58,Italian_Greyhound,0.00537015,True
58,Pomeranian,0.00264133,True
59,Pembroke,0.741563,True
59,Chihuahua,0.0578659,True
59,Toy_Poodle,0.0391251,True
60,West_Highland_White_Terrier,0.747713,True
60,Samoyed,0.243629,True
60,Toy_Poodle,0.00180397,True
61,Toy_Poodle,0.535411,True
61,Pomeranian,0.08754400000000001,True
61,Miniature_Poodle,0.06205,True
62,Golden_Retriever,0.471351,True
62,Miniature_Poodle,0.0919921,True
62,Standard_Poodle,0.08738539999999999,True
63,Miniature_Pinscher,0.140173,True
63,Rottweiler,0.13409400000000002,True
63,Beagle,0.08189980000000001,True
64,Giant_Schnauzer,0.8412649999999999,True
64,Lakeland_Terrier,0.0527442,True
64,Irish_Water_Spaniel,0.0344017,True
65,Toy_Poodle,0.266437,True
65,Chihuahua,0.243223,True
65,Bluetick,0.0728063,True
66,Soft-Coated_Wheaten_Terrier,0.318981,True
66,Lakeland_Terrier,0.215218,True
66,Toy_Poodle,0.106014,True
67,Vizsla,0.25924899999999995,True
67,Chesapeake_Bay_Retriever,0.176293,True
67,Weimaraner,0.112369,True
68,Golden_Retriever,0.949892,True
68,Irish_Setter,0.0105638,True
68,Chesapeake_Bay_Retriever,0.00582141,True
69,Vacuum,0.33583,False
69,Swab,0.265278,False
69,Toilet_Tissue,0.140703,False
70,Rottweiler,0.28364,True
70,Miniature_Pinscher,0.148112,True
70,Black-And-Tan_Coonhound,0.0955848,True
71,Siberian_Husky,0.694904,True
71,Malamute,0.232006,True
71,Eskimo_Dog,0.0506351,True
72,Golden_Retriever,0.462556,True
72,Labrador_Retriever,0.454937,True
72,Kuvasz,0.0241933,True
73,Teddy,0.709545,False
73,Bath_Towel,0.12728499999999998,False
73,Christmas_Stocking,0.028567500000000006,False
74,Papillon,0.557009,True
74,Border_Collie,0.271963,True
74,Collie,0.0734729,True
75,Saint_Bernard,0.381377,True
75,Leonberg,0.127998,True
75,Golden_Retriever,0.0693568,True
76,Rottweiler,0.999091,True
76,Miniature_Pinscher,0.000450355,True
76,Black-And-Tan_Coonhound,0.00015714,True
77,Porcupine,0.989154,False
77,Bath_Towel,0.00630049,False
77,Badger,0.00096634,False
78,Goose,0.980815,False
78,Drake,0.00691777,False
78,Hen,0.00525517,False
79,Labrador_Retriever,0.8256700000000001,True
79,French_Bulldog,0.0566394,True
79,Staffordshire_Bullterrier,0.0540184,True
80,Tibetan_Terrier,0.676376,True
80,Irish_Terrier,0.054933400000000014,True
80,Yorkshire_Terrier,0.0405755,True
81,Toy_Poodle,0.304175,True
81,Pug,0.223427,True
81,Lakeland_Terrier,0.07331649999999999,True
82,Borzoi,0.852088,True
82,Ice_Bear,0.13226400000000002,False
82,Weasel,0.00572998,False
83,Chihuahua,0.143957,True
83,Christmas_Stocking,0.118651,False
83,Ski_Mask,0.0924817,False
84,Labrador_Retriever,0.996709,True
84,Golden_Retriever,0.00168821,True
84,Beagle,0.0007116669999999999,True
85,Beagle,0.636169,True
85,Labrador_Retriever,0.119256,True
85,Golden_Retriever,0.08254919999999999,True
86,Italian_Greyhound,0.125176,True
86,Standard_Poodle,0.08457150000000001,True
86,Cocker_Spaniel,0.0813469,True
87,Hare,0.447893,False
87,Dhole,0.0924353,False
87,Chesapeake_Bay_Retriever,0.08812239999999999,True
